# assembly_accession,asm_name,domain,ftp_basename,ftp_path,organism_name,taxid,genetic_code
GCF_000179575.2,ASM17957v2,archaea,GCF_000179575.2_ASM17957v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/575/GCF_000179575.2_ASM17957v2,Methanothermococcus okinawensis IH1,647113,11
GCF_002214385.1,ASM221438v1,archaea,GCF_002214385.1_ASM221438v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/385/GCF_002214385.1_ASM221438v1,Thermococcus gorgonarius,71997,11
GCF_000215995.1,ASM21599v1,archaea,GCF_000215995.1_ASM21599v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/995/GCF_000215995.1_ASM21599v1,Pyrococcus yayanosii CH1,529709,11
GCF_000025685.1,ASM2568v1,archaea,GCF_000025685.1_ASM2568v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/685/GCF_000025685.1_ASM2568v1,Haloferax volcanii DS2,309800,11
GCF_900095295.1,MCBB,archaea,GCF_900095295.1_MCBB,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/095/295/GCF_900095295.1_MCBB,Methanobacterium congolense,118062,11
GCF_000007305.1,ASM730v1,archaea,GCF_000007305.1_ASM730v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/305/GCF_000007305.1_ASM730v1,Pyrococcus furiosus DSM 3638,186497,11
GCF_000204925.1,ASM20492v1,archaea,GCF_000204925.1_ASM20492v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/925/GCF_000204925.1_ASM20492v1,Metallosphaera cuprina Ar-4,1006006,11
GCF_000196655.1,ASM19665v1,archaea,GCF_000196655.1_ASM19665v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/655/GCF_000196655.1_ASM19665v1,Methanohalobium evestigatum Z-7303,644295,11
GCF_000327485.1,ASM32748v1,archaea,GCF_000327485.1_ASM32748v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/327/485/GCF_000327485.1_ASM32748v1,Methanoregula formicica SMSP,593750,11
GCF_000007345.1,ASM734v1,archaea,GCF_000007345.1_ASM734v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/345/GCF_000007345.1_ASM734v1,Methanosarcina acetivorans C2A,188937,11
