#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000302455.1	PRJNA224116	SAMN02471940	AMPO00000000.1	representative genome	1204725	2162	Methanobacterium formicicum DSM 3637	strain=DSM 3637		latest	Contig	Major	Full	2012/10/02	ASM30245v1	Deparment of Genetics, University of Seville, Spain	GCA_000302455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/302/455/GCF_000302455.1_ASM30245v1		
GCF_000762265.1	PRJNA224116	SAMN03085433		representative genome	2162	2162	Methanobacterium formicicum	strain=BRM9		latest	Complete Genome	Major	Full	2014/10/02	ASM76226v1	PGgRc	GCA_000762265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/762/265/GCF_000762265.1_ASM76226v1		
GCF_000953115.1	PRJNA224116	SAMEA2724982		na	2162	2162	Methanobacterium formicicum			latest	Complete Genome	Major	Full	2014/09/10	DSM1535	CEBITEC	GCA_000953115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/115/GCF_000953115.1_DSM1535		
GCF_001458655.1	PRJNA224116	SAMEA2779801		na	2162	2162	Methanobacterium formicicum		Mb9	latest	Complete Genome	Major	Full	2015/11/16	Mb9	CEBITEC	GCA_001458655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/458/655/GCF_001458655.1_Mb9		
GCF_000016525.1	PRJNA224116	SAMN02604313		representative genome	420247	2173	Methanobrevibacter smithii ATCC 35061	strain=ATCC 35061; PS; DSMZ 861		latest	Complete Genome	Major	Full	2007/06/04	ASM1652v1	Washington University Center for Genome Sciences	GCA_000016525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/525/GCF_000016525.1_ASM1652v1		assembly from type material
GCF_000151225.1	PRJNA224116	SAMN00008834	ABYV00000000.2	na	521002	2173	Methanobrevibacter smithii DSM 2374	strain=DSM 2374		latest	Scaffold	Major	Full	2009/10/06	ASM15122v1	WUGSC	GCA_000151225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/225/GCF_000151225.1_ASM15122v1		
GCF_000151245.1	PRJNA224116	SAMN00008835	ABYW00000000.1	na	483214	2173	Methanobrevibacter smithii DSM 2375	strain=DSM 2375		latest	Scaffold	Major	Full	2008/11/13	ASM15124v1	Washington University Genome Sequencing Center	GCA_000151245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/245/GCF_000151245.1_ASM15124v1		
GCF_000189795.1	PRJNA224116	SAMN02436678	AEKU00000000.1	na	911116	2173	Methanobrevibacter smithii TS145A	strain=TS145A		latest	Contig	Major	Full	2011/02/17	ASM18979v2	Washington University in St.Louis	GCA_000189795.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/795/GCF_000189795.1_ASM18979v2		
GCF_000189815.1	PRJNA224116	SAMN02436664	AELL00000000.1	na	911117	2173	Methanobrevibacter smithii TS145B	strain=TS145B		latest	Contig	Major	Full	2011/02/17	ASM18981v2	Washington University in St.Louis	GCA_000189815.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/815/GCF_000189815.1_ASM18981v2		
GCF_000189835.1	PRJNA224116	SAMN02436679	AELM00000000.1	na	911118	2173	Methanobrevibacter smithii TS146A	strain=TS146A		latest	Contig	Major	Full	2011/02/17	ASM18983v2	Washington University in St.Louis	GCA_000189835.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/835/GCF_000189835.1_ASM18983v2		
GCF_000189855.1	PRJNA224116	SAMN02436665	AELN00000000.1	na	911119	2173	Methanobrevibacter smithii TS146B	strain=TS146B		latest	Contig	Major	Full	2011/02/17	ASM18985v2	Washington University in St.Louis	GCA_000189855.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/855/GCF_000189855.1_ASM18985v2		
