asm_name,assembly_accession,domain,ftp_basename,ftp_path,organism_name,taxid,genetic_code
ASM2238v1,GCF_000022385.1,archaea,GCF_000022385.1_ASM2238v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/385/GCF_000022385.1_ASM2238v1,Sulfolobus islandicus L.S.2.15,429572,11
ASM97008v1,GCF_000970085.1,archaea,GCF_000970085.1_ASM97008v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/085/GCF_000970085.1_ASM97008v1,Methanosarcina siciliae T4/M,1434120,11
ASM734v1,GCF_000007345.1,archaea,GCF_000007345.1_ASM734v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/345/GCF_000007345.1_ASM734v1,Methanosarcina acetivorans C2A,188937,11
ASM35030v1,GCF_000350305.1,archaea,GCF_000350305.1_ASM35030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/305/GCF_000350305.1_ASM35030v1,Thermoplasmatales archaeon BRNA1,1054217,11
ASM96990v1,GCF_000969905.1,archaea,GCF_000969905.1_ASM96990v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/905/GCF_000969905.1_ASM96990v1,Methanosarcina vacuolata Z-761,1434123,11
ASM25110v1,GCF_000251105.1,archaea,GCF_000251105.1_ASM25110v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/251/105/GCF_000251105.1_ASM25110v1,Methanocella conradii HZ254,1041930,11
Halobacterium hubeiense JI20-1,GCF_001488575.1,archaea,GCF_001488575.1_Halobacterium_hubeiense_JI20-1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/488/575/GCF_001488575.1_Halobacterium_hubeiense_JI20-1,Halobacterium hubeiense,1407499,11
ASM2396v1,GCF_000023965.1,archaea,GCF_000023965.1_ASM2396v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/965/GCF_000023965.1_ASM2396v1,Halomicrobium mukohataei DSM 12286,485914,11
ASM1228v1,GCF_000012285.1,archaea,GCF_000012285.1_ASM1228v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/285/GCF_000012285.1_ASM1228v1,Sulfolobus acidocaldarius DSM 639,330779,11
ASM864v1,GCF_000008645.1,archaea,GCF_000008645.1_ASM864v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/645/GCF_000008645.1_ASM864v1,Methanothermobacter thermautotrophicus str. Delta H,187420,11
ASM21771v1,GCF_000217715.1,archaea,GCF_000217715.1_ASM21771v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/715/GCF_000217715.1_ASM21771v1,Halopiger xanaduensis SH-6,797210,11
