dna_type,filepath,ftp_basename,length_of_seqs,num_of_seqs
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000022385.1_ASM2238v1_chromosome.fna,GCF_000022385.1_ASM2238v1,2736272,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000022385.1_ASM2238v1_plasmid.fna,GCF_000022385.1_ASM2238v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000970085.1_ASM97008v1_chromosome.fna,GCF_000970085.1_ASM97008v1,5017558,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000970085.1_ASM97008v1_plasmid.fna,GCF_000970085.1_ASM97008v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000007345.1_ASM734v1_chromosome.fna,GCF_000007345.1_ASM734v1,5751492,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000007345.1_ASM734v1_plasmid.fna,GCF_000007345.1_ASM734v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000350305.1_ASM35030v1_chromosome.fna,GCF_000350305.1_ASM35030v1,1461105,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000350305.1_ASM35030v1_plasmid.fna,GCF_000350305.1_ASM35030v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000969905.1_ASM96990v1_chromosome.fna,GCF_000969905.1_ASM96990v1,4505752,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000969905.1_ASM96990v1_plasmid.fna,GCF_000969905.1_ASM96990v1,58133,1
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000251105.1_ASM25110v1_chromosome.fna,GCF_000251105.1_ASM25110v1,2378438,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000251105.1_ASM25110v1_plasmid.fna,GCF_000251105.1_ASM25110v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_001488575.1_Halobacterium_hubeiense_JI20-1_chromosome.fna,GCF_001488575.1_Halobacterium_hubeiense_JI20-1,2510607,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_001488575.1_Halobacterium_hubeiense_JI20-1_plasmid.fna,GCF_001488575.1_Halobacterium_hubeiense_JI20-1,349522:157757:112459,3
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000023965.1_ASM2396v1_chromosome.fna,GCF_000023965.1_ASM2396v1,3110487,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000023965.1_ASM2396v1_plasmid.fna,GCF_000023965.1_ASM2396v1,221862,1
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000012285.1_ASM1228v1_chromosome.fna,GCF_000012285.1_ASM1228v1,2225959,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000012285.1_ASM1228v1_plasmid.fna,GCF_000012285.1_ASM1228v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000008645.1_ASM864v1_chromosome.fna,GCF_000008645.1_ASM864v1,1751377,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000008645.1_ASM864v1_plasmid.fna,GCF_000008645.1_ASM864v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000217715.1_ASM21771v1_chromosome.fna,GCF_000217715.1_ASM21771v1,3668009,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000217715.1_ASM21771v1_plasmid.fna,GCF_000217715.1_ASM21771v1,436718:181778:68763,3
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000091665.1_ASM9166v1_chromosome.fna,GCF_000091665.1_ASM9166v1,1664970,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000091665.1_ASM9166v1_plasmid.fna,GCF_000091665.1_ASM9166v1,58407:16550,2
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000025685.1_ASM2568v1_chromosome.fna,GCF_000025685.1_ASM2568v1,2847757,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000025685.1_ASM2568v1_plasmid.fna,GCF_000025685.1_ASM2568v1,85092:6359:437906:635786,4
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000812185.1_ASM81218v1_chromosome.fna,GCF_000812185.1_ASM81218v1,1232128,1
